Path	Lines of Code
src/App.css	480
src/App.jsx	141
src/app/Context/AuthContext.jsx	10
src/app/Error/ErrorPage.jsx	12
src/app/components/GameCard.jsx	23
src/app/components/Guards/RequireAdmin.jsx	6
src/app/components/Guards/RequireDev.jsx	15
src/app/components/SearchBar.jsx	245
src/app/components/gameCard.css	9
src/app/components/searchBar.css	100
src/app/layout/RootLayout.jsx	12
src/index.css	33
src/main.jsx	9
src/pages/Admin/Admin.css	8
src/pages/Admin/Admin.jsx	215
src/pages/Cart/Cart.css	32
src/pages/Cart/Cart.jsx	184
src/pages/Dev/Dev.jsx	615
src/pages/Dev/DevGameDetail/devGameDetail.jsx	489
src/pages/GameDetail/GameDetail.jsx	305
src/pages/GameDetail/gameDetail.css	295
src/pages/Home/Home.jsx	212
src/pages/Home/home.css	149
src/pages/Login/Login.jsx	97
src/pages/Login/login.module.css	6
src/pages/Logout/Logout.css	27
src/pages/Logout/Logout.jsx	40
src/pages/Navigation/Navigation.jsx	41
src/pages/Navigation/navigation.css	102
src/pages/Profile/EditPassword/EditPassword.jsx	132
src/pages/Profile/EditProfile/EditProfile.jsx	130
src/pages/Profile/Profile.css	180
src/pages/Profile/Profile.jsx	103
src/pages/Profile/Purchases.jsx	91
src/pages/Purchase/Success.jsx	166
src/pages/Purchase/success.css	15
src/pages/Register/Register.jsx	128
src/pages/Register/register.module.css	6
src/pages/Search/Search.css	3
src/pages/Search/Search.jsx	43
src/pages/Support/Support.jsx	146
src/pages/Support/support.css	121
src/pages/oldDev/CreateGame/CreateGame.css	42
src/pages/oldDev/CreateGame/CreateGame.jsx	252
src/pages/oldDev/Dev.css	126
src/pages/oldDev/Dev.jsx	223
